Fórmula,Nombre
AgBr,Bromuro de plata
AgCl,Cloruro de plata
AgI,Yoduro de plata
Al2O3,Óxido de aluminio
AlCl3,Cloruro de aluminio
AsCl3,Tricloruro de arsénico
AsCl5,Pentacloruro de arsénico
AuCl3,Cloruro de oro (III)
Au2S3,Sulfuro de oro (III)
BaCl2,Cloruro de bario
BaF,Fluoruro de bario
BaO,Óxido de bario
B2H6,Diborano
B2O3,Trióxido de diboro
B5H9,Pentaborano
BCl3,Tricloruro de boro
BeCl2,Cloruro de berilio
BeF2,Fluoruro de berilio
BeI2,Yoduro de berilio
BF3,Trifluoruro de boro
BH3,Borano
BI3,Triyoduro de boro
BiCl3,Cloruro de bismuto (III)
BiI3,Yoduro de bismuto (III)
Bi2O3,Óxido de bismuto (III)
Bi2S3,Sulfuro de bismuto (III)
Br2O,Monóxido de dibromo
CaBr2,Bromuro de calcio
CaC2,Carburo de calcio
CaCl2,Cloruro de calcio
CaH2,Hidruro de calcio
CaO,Óxido de calcio
CaS,Sulfuro de calcio
CCl4,Tetracloruro de carbono
CdCl2,Cloruro de cadmio
CF4,Tetrafluoruro de carbono
Cl2O,Monóxido de dicloro
ClF,Monofluoruro de cloro
CO,Monóxido de carbono
CoCl2,Cloruro de cobalto (II)
CoI2,Yoduro de cobalto (II)
CrCl3,Cloruro de cromo (III)
CrI3,Yoduro de cromo (III)
Cr2O3,Óxido de cromo (III)
CS2,Disulfuro de carbono
CsBr,Bromuro de cesio
CuCl,Cloruro de cobre (I)
CuCl2,Cloruro de cobre (II)
CuS,Sulfuro de cobre (II)
FeCl2,Cloruro de hierro (II)
FeCl3,Cloruro de hierro (III)
Fe2O3,Óxido de hierro (III)
FeS2,Disulfuro de hierro
FeO,Óxido de hierro (II)
H2O2,Peróxido de hidrógeno
H2S,Sulfuro de hidrógeno
H3O+,Ion hidronio
HBr,Ácido bromhídrico
HCl,Ácido clorhídrico
HF,Ácido fluorhídrico
HI,Ácido yodhídrico
HS-,Ion hidrosulfuro
KBr,Bromuro de potasio
KCl,Cloruro de potasio
KF,Fluoruro de potasio
KI,Yoduro de potasio
LiCl,Cloruro de litio
MgCl2,Cloruro de magnesio
MgF2,Fluoruro de magnesio
MgI2,Yoduro de magnesio
MnCl2,Cloruro de manganeso (II)
MnO2,Dióxido de manganeso
N2H4,Hidrazina
N2O4,Tetraóxido de dinitrógeno
N2O5,Pentaóxido de dinitrógeno
Na2S,Sulfuro de sodio
NaBr,Bromuro de sodio
NaCl,Cloruro de sodio
NaF,Fluoruro de sodio
NaH,Hidruro de sodio
NaI,Yoduro de sodio
NCl3,Tricloruro de nitrógeno
NF3,Trifluoruro de nitrógeno
NO,Monóxido de nitrógeno
NO2,Dióxido de nitrógeno
OF2,Difluoruro de oxígeno
PbBr2,Bromuro de plomo (II)
PbCl2,Cloruro de plomo (II)
PbI2,Yoduro de plomo (II)
PCl3,Tricloruro de fósforo
PCl5,Pentacloruro de fósforo
PF3,Trifluoruro de fósforo
PH3,Fosfano
Sb2O3,Trióxido de antimonio
Sb2O5,Pentóxido de antimonio
SbCl3,Cloruro de antimonio (III)
SbCl5,Cloruro de antimonio (V)
SO2,Dióxido de azufre
SO3,Trióxido de azufre
SnCl2,Cloruro de estaño (II)
SnCl4,Cloruro de estaño (IV)
SnO2,Óxido de estaño (IV)
SrO,Óxido de estroncio
ZnBr2,Bromuro de cinc
NH4Cl,Cloruro de amonio
Ca(OH)2,Hidróxido de calcio
NaOH,Hidróxido de sodio
H2SO4,Ácido sulfúrico
HNO3,Ácido nítrico
NO3-,Ion nitrato
SO4^2-,Ion sulfato
Na2SO4,Sulfato de sodio
KNO3,Nitrato de potasio
CuSO4,Sulfato de cobre (II)
FeSO4,Sulfato de hierro (II)
